sample_date,sample_time,distance
07/04/2023,03:10:14,6.011591033
07/04/2023,03:10:45,6.011591033
07/04/2023,03:11:16,6.011591033
07/04/2023,03:11:47,6.011591033
07/04/2023,03:12:18,6.011591033
07/04/2023,03:12:49,6.011591033
07/04/2023,03:13:20,6.011591033
07/04/2023,03:13:51,6.011591033
07/04/2023,03:14:22,6.011591033
07/04/2023,03:14:53,6.011591033
07/04/2023,03:15:24,6.011591033
07/04/2023,03:15:55,6.011591033
07/04/2023,03:16:26,6.011591033
07/04/2023,03:16:57,6.011591033
07/04/2023,03:17:28,6.011591033
07/04/2023,03:17:59,6.011591033
07/04/2023,03:18:30,6.011591033
07/04/2023,03:19:01,6.011591033
07/04/2023,03:19:32,6.011591033
07/04/2023,03:20:03,6.011591033
07/04/2023,03:20:34,6.011591033
07/04/2023,03:21:58,6.011591033
07/04/2023,03:22:29,6.011591033
07/04/2023,03:23:00,6.011591033
07/04/2023,03:23:31,6.011591033
07/04/2023,03:24:02,5.956916348
07/04/2023,03:24:33,5.967851285
07/04/2023,03:25:04,5.967851285
07/04/2023,03:25:35,5.967851285
07/04/2023,03:26:06,5.967851285
07/04/2023,03:26:37,5.967851285
07/04/2023,03:27:08,5.967851285
07/04/2023,03:27:39,5.967851285
07/04/2023,03:28:10,5.967851285
07/04/2023,03:28:41,5.967851285
07/04/2023,03:29:12,5.967851285
07/04/2023,03:29:43,5.967851285
07/04/2023,03:30:14,5.967851285
07/04/2023,03:30:45,5.967851285
07/04/2023,03:31:16,5.967851285
07/04/2023,03:31:47,5.967851285
07/04/2023,03:32:18,5.967851285
07/04/2023,03:32:49,5.967851285
07/04/2023,03:33:20,5.967851285
07/04/2023,03:33:51,5.967851285
07/04/2023,03:34:22,5.967851285
07/04/2023,03:34:53,5.967851285
07/04/2023,03:35:24,5.967851285
07/04/2023,03:35:55,5.967851285
07/04/2023,03:36:26,5.967851285
07/04/2023,03:36:57,5.967851285
07/04/2023,03:37:28,5.967851285
07/04/2023,03:37:59,5.967851285
07/04/2023,03:38:30,5.967851285
07/04/2023,03:39:01,5.967851285
07/04/2023,03:39:32,5.967851285
07/04/2023,03:40:03,5.967851285
07/04/2023,03:40:34,5.967851285
07/04/2023,03:41:05,5.967851285
07/04/2023,03:41:36,5.967851285
07/04/2023,03:42:07,5.967851285
07/04/2023,03:42:38,5.967851285
07/04/2023,03:43:09,5.967851285
07/04/2023,03:43:40,5.967851285
07/04/2023,03:44:11,5.967851285
07/04/2023,03:44:42,5.967851285
07/04/2023,03:45:13,5.967851285
07/04/2023,03:45:44,5.967851285
07/04/2023,03:46:15,5.967851285
07/04/2023,03:46:46,5.967851285
07/04/2023,03:47:17,5.967851285
07/04/2023,03:47:48,5.967851285
07/04/2023,03:48:19,5.967851285
07/04/2023,03:48:50,5.967851285
07/04/2023,03:49:21,5.967851285
07/04/2023,03:49:52,5.967851285
07/04/2023,03:50:23,5.967851285
07/04/2023,03:50:54,5.967851285
07/04/2023,03:51:25,5.967851285
07/04/2023,03:51:56,5.967851285
07/04/2023,03:53:20,5.967851285
07/04/2023,03:53:51,5.967851285
07/04/2023,03:54:22,5.967851285
07/04/2023,03:54:53,5.967851285
07/04/2023,03:55:24,5.967851285
07/04/2023,03:55:55,5.967851285
07/04/2023,03:56:26,5.967851285
07/04/2023,03:56:57,5.967851285
07/04/2023,03:57:28,5.967851285
07/04/2023,03:57:59,5.956916348
07/04/2023,03:58:30,5.967851285
07/04/2023,03:59:01,5.967851285
07/04/2023,03:59:32,5.967851285
07/04/2023,04:00:03,5.967851285
07/04/2023,04:00:34,5.967851285
07/04/2023,04:01:05,5.967851285
07/04/2023,04:01:36,5.967851285
07/04/2023,04:02:07,5.967851285
07/04/2023,04:02:38,5.967851285
07/04/2023,04:03:09,5.880371788
07/04/2023,04:03:40,5.880371788
07/04/2023,04:04:11,5.836632039
07/04/2023,04:04:42,5.880371788
07/04/2023,04:05:13,5.880371788
07/04/2023,04:05:44,5.880371788
07/04/2023,04:06:15,5.880371788
07/04/2023,04:06:46,5.880371788
07/04/2023,04:07:17,5.880371788
07/04/2023,04:07:48,5.880371788
07/04/2023,04:08:19,5.880371788
07/04/2023,04:08:50,5.880371788
07/04/2023,04:09:21,5.880371788
07/04/2023,04:09:52,5.880371788
07/04/2023,04:10:23,5.880371788
07/04/2023,04:10:54,5.880371788
07/04/2023,04:11:25,5.880371788
07/04/2023,04:11:56,5.880371788
07/04/2023,04:12:27,5.880371788
07/04/2023,04:12:58,5.880371788
07/04/2023,04:13:29,5.880371788
07/04/2023,04:14:00,5.880371788
07/04/2023,04:14:31,5.880371788
07/04/2023,04:15:02,5.880371788
07/04/2023,04:15:33,5.880371788
07/04/2023,04:16:04,5.880371788
07/04/2023,04:16:35,5.880371788
07/04/2023,04:17:06,5.880371788
07/04/2023,04:17:37,5.880371788
07/04/2023,04:18:08,5.880371788
07/04/2023,04:18:39,5.880371788
07/04/2023,04:19:10,5.880371788
07/04/2023,04:19:41,5.836632039
07/04/2023,04:20:12,5.880371788
07/04/2023,04:20:43,5.836632039
07/04/2023,04:21:14,5.836632039
07/04/2023,04:21:45,5.836632039
07/04/2023,04:22:16,5.836632039
07/04/2023,04:22:47,5.836632039
07/04/2023,04:23:18,5.836632039
07/04/2023,04:24:39,5.880371788
07/04/2023,04:25:10,5.825697102
07/04/2023,04:25:41,5.880371788
07/04/2023,04:26:12,5.880371788
07/04/2023,04:26:43,5.880371788
07/04/2023,04:27:14,5.967851285
07/04/2023,04:27:45,6.448988518
07/04/2023,04:28:16,6.448988518
07/04/2023,04:28:47,6.448988518
07/04/2023,04:29:18,6.448988518
07/04/2023,04:29:49,6.448988518
07/04/2023,04:30:20,6.448988518
07/04/2023,04:30:51,6.448988518
07/04/2023,04:31:22,6.448988518
07/04/2023,04:31:53,6.448988518
07/04/2023,04:32:24,6.448988518
07/04/2023,04:32:55,6.448988518
07/04/2023,04:33:26,6.492728267
07/04/2023,04:33:57,6.492728267
07/04/2023,04:34:28,6.492728267
07/04/2023,04:34:59,6.492728267
07/04/2023,04:35:30,6.186550027
07/04/2023,04:36:01,6.317769273
07/04/2023,04:36:32,6.274029524
07/04/2023,04:37:03,6.317769273
07/04/2023,04:37:34,6.317769273
07/04/2023,04:38:05,6.361509021
07/04/2023,04:38:36,6.361509021
07/04/2023,04:39:07,6.350574084
07/04/2023,04:39:38,6.361509021
07/04/2023,04:40:09,6.317769273
07/04/2023,04:40:40,6.317769273
07/04/2023,04:41:11,6.317769273
07/04/2023,04:41:42,6.317769273
07/04/2023,04:42:13,6.317769273
07/04/2023,04:42:44,6.339639147
07/04/2023,04:43:15,6.317769273
07/04/2023,04:43:46,6.317769273
07/04/2023,04:44:17,6.361509021
07/04/2023,04:44:48,6.317769273
07/04/2023,04:45:19,6.361509021
07/04/2023,04:45:50,6.317769273
07/04/2023,04:46:21,6.32870421
07/04/2023,04:46:52,6.361509021
07/04/2023,04:47:23,6.361509021
07/04/2023,04:47:54,6.361509021
07/04/2023,04:48:25,6.361509021
07/04/2023,04:48:56,6.317769273
07/04/2023,04:49:27,6.361509021
07/04/2023,04:49:58,6.317769273
07/04/2023,04:50:29,6.361509021
07/04/2023,04:51:00,6.361509021
07/04/2023,04:51:31,6.317769273
07/04/2023,04:52:02,6.317769273
07/04/2023,04:52:33,6.317769273
07/04/2023,04:53:04,6.317769273
07/04/2023,04:53:35,6.317769273
07/04/2023,04:54:06,6.317769273
07/04/2023,04:54:37,6.317769273
07/04/2023,04:56:10,6.317769273
07/04/2023,04:56:41,6.317769273
07/04/2023,04:57:12,6.317769273
07/04/2023,04:57:43,6.317769273
07/04/2023,04:58:14,6.317769273
07/04/2023,04:58:45,6.317769273
07/04/2023,04:59:16,6.317769273
07/04/2023,04:59:47,6.317769273
07/04/2023,05:00:18,6.317769273
07/04/2023,05:00:49,6.317769273
07/04/2023,05:01:20,6.317769273
07/04/2023,05:01:51,6.317769273
07/04/2023,05:02:22,6.317769273
07/04/2023,05:02:53,6.317769273
07/04/2023,05:03:24,6.317769273
07/04/2023,05:03:55,6.317769273
07/04/2023,05:04:26,6.317769273
07/04/2023,05:04:57,6.317769273
07/04/2023,05:05:28,6.317769273
07/04/2023,05:05:59,6.317769273
07/04/2023,05:06:30,6.317769273
07/04/2023,05:07:01,6.317769273
07/04/2023,05:07:32,6.317769273
07/04/2023,05:08:03,6.317769273
07/04/2023,05:08:34,6.317769273
07/04/2023,05:09:05,6.317769273
07/04/2023,05:09:36,6.317769273
07/04/2023,05:10:07,6.711427009
07/04/2023,05:10:38,6.711427009
07/04/2023,05:11:09,6.667687261
07/04/2023,05:11:40,6.667687261
07/04/2023,05:12:11,6.667687261
07/04/2023,05:12:42,6.667687261
07/04/2023,05:13:13,6.667687261
07/04/2023,05:13:44,6.667687261
07/04/2023,05:14:15,6.667687261
07/04/2023,05:14:46,6.667687261
07/04/2023,05:15:17,6.667687261
07/04/2023,05:15:48,6.667687261
07/04/2023,05:16:19,6.667687261
07/04/2023,05:16:50,6.667687261
07/04/2023,05:17:21,6.667687261
07/04/2023,05:17:52,6.667687261
07/04/2023,05:18:23,6.667687261
07/04/2023,05:18:54,6.667687261
07/04/2023,05:19:25,6.667687261
07/04/2023,05:19:56,6.667687261
07/04/2023,05:20:27,6.623947512
07/04/2023,05:20:58,6.623947512
07/04/2023,05:21:29,6.623947512
07/04/2023,05:22:00,6.623947512
07/04/2023,05:22:31,6.623947512
07/04/2023,05:23:02,6.623947512
07/04/2023,05:23:33,6.623947512
07/04/2023,05:24:04,6.623947512
07/04/2023,05:24:35,6.623947512
07/04/2023,05:25:06,6.623947512
07/04/2023,05:25:37,6.623947512
07/04/2023,05:26:08,6.623947512
07/04/2023,05:27:44,6.623947512
07/04/2023,05:28:15,6.623947512
07/04/2023,05:28:46,6.623947512
07/04/2023,05:29:17,6.623947512
07/04/2023,05:29:48,6.623947512
07/04/2023,05:30:19,6.623947512
07/04/2023,05:30:50,6.623947512
07/04/2023,05:31:21,6.623947512
07/04/2023,05:31:52,6.623947512
07/04/2023,05:32:23,6.623947512
07/04/2023,05:32:54,6.623947512
07/04/2023,05:33:25,6.623947512
07/04/2023,05:33:56,6.623947512
07/04/2023,05:34:27,6.623947512
07/04/2023,05:34:58,6.623947512
07/04/2023,05:35:29,6.623947512
07/04/2023,05:36:00,6.623947512
07/04/2023,05:36:31,6.623947512
07/04/2023,05:37:02,6.623947512
07/04/2023,05:37:33,6.623947512
07/04/2023,05:38:04,6.361509021
07/04/2023,05:38:35,6.186550027
07/04/2023,05:39:06,6.536468015
07/04/2023,05:39:37,6.40524877
07/04/2023,05:40:08,6.40524877
07/04/2023,05:40:39,6.40524877
07/04/2023,05:41:10,6.40524877
07/04/2023,05:41:41,6.361509021
07/04/2023,05:42:12,6.361509021
07/04/2023,05:42:43,6.361509021
07/04/2023,05:43:14,6.361509021
07/04/2023,05:43:45,6.361509021
07/04/2023,05:44:16,6.361509021
07/04/2023,05:44:47,6.361509021
07/04/2023,05:45:18,6.40524877
07/04/2023,05:45:49,6.361509021
07/04/2023,05:46:20,6.361509021
07/04/2023,05:46:51,6.361509021
07/04/2023,05:47:22,6.40524877
07/04/2023,05:47:53,6.40524877
07/04/2023,05:48:24,6.40524877
07/04/2023,05:48:55,6.40524877
07/04/2023,05:49:26,6.361509021
07/04/2023,05:49:57,6.361509021
07/04/2023,05:50:28,6.40524877
07/04/2023,05:50:59,6.40524877
07/04/2023,05:51:30,6.361509021
07/04/2023,05:52:01,6.361509021
07/04/2023,05:52:32,6.317769273
07/04/2023,05:53:03,6.317769273
07/04/2023,05:53:34,6.317769273
07/04/2023,05:54:05,6.317769273
07/04/2023,05:54:36,6.317769273
07/04/2023,05:55:07,6.317769273
07/04/2023,05:55:38,6.317769273
07/04/2023,05:56:09,6.317769273
07/04/2023,05:56:40,6.317769273
07/04/2023,05:57:11,6.317769273
07/04/2023,05:57:42,6.317769273
07/04/2023,05:59:23,6.317769273
07/04/2023,05:59:54,6.317769273
07/04/2023,06:00:25,6.317769273
07/04/2023,06:00:56,6.317769273
